0	0	0	0
0.025063	-0.049959	-0.050042	-0.045419
0.050125	-0.098941	-0.099597	-0.082581
0.075188	-0.14603	-0.1482	-0.11297
0.10025	-0.19037	-0.19543	-0.1378
0.12531	-0.23122	-0.24088	-0.15805
0.15038	-0.26791	-0.2842	-0.17452
0.17544	-0.29991	-0.32506	-0.18787
0.2005	-0.32679	-0.36319	-0.19863
0.22556	-0.34822	-0.39835	-0.20724
0.25063	-0.36402	-0.43034	-0.21405
0.27569	-0.3741	-0.459	-0.21936
0.30075	-0.3785	-0.48421	-0.22339
0.32581	-0.37738	-0.50589	-0.22636
0.35088	-0.37096	-0.52401	-0.22841
0.37594	-0.3596	-0.53856	-0.22968
0.401	-0.34372	-0.54957	-0.23029
0.42607	-0.32379	-0.5571	-0.23032
0.45113	-0.30037	-0.56126	-0.22985
0.47619	-0.27405	-0.56217	-0.22895
0.50125	-0.24545	-0.55998	-0.22766
0.52632	-0.21521	-0.55486	-0.22603
0.55138	-0.18397	-0.547	-0.22411
0.57644	-0.15238	-0.53662	-0.22192
0.6015	-0.12103	-0.52394	-0.2195
0.62657	-0.09053	-0.50919	-0.21686
0.65163	-0.061408	-0.49263	-0.21403
0.67669	-0.03416	-0.4745	-0.21103
0.70175	-0.009224	-0.45506	-0.20788
0.72682	0.013029	-0.43456	-0.20459
0.75188	0.032294	-0.41326	-0.20118
0.77694	0.048338	-0.39139	-0.19765
0.80201	0.060999	-0.36922	-0.19403
0.82707	0.070187	-0.34695	-0.19031
0.85213	0.075885	-0.32483	-0.18652
0.87719	0.078143	-0.30306	-0.18266
0.90226	0.077075	-0.28183	-0.17873
0.92732	0.072856	-0.26133	-0.17476
0.95238	0.065713	-0.24171	-0.17073
0.97744	0.055919	-0.22314	-0.16667
1.0025	0.04379	-0.20574	-0.16258
1.0276	0.02967	-0.18962	-0.15847
1.0526	0.013928	-0.17489	-0.15433
1.0777	-0.0030502	-0.16161	-0.15019
1.1028	-0.020873	-0.14984	-0.14604
1.1278	-0.039149	-0.13963	-0.14188
1.1529	-0.057494	-0.131	-0.13773
1.1779	-0.075541	-0.12396	-0.13359
1.203	-0.092941	-0.1185	-0.12946
1.2281	-0.10938	-0.11459	-0.12536
1.2531	-0.12456	-0.1122	-0.12127
1.2782	-0.13824	-0.11127	-0.11721
1.3033	-0.15021	-0.11175	-0.11318
1.3283	-0.1603	-0.11356	-0.10918
1.3534	-0.16838	-0.11662	-0.10522
1.3784	-0.17438	-0.12083	-0.1013
1.4035	-0.17825	-0.12611	-0.097417
1.4286	-0.18001	-0.13234	-0.093585
1.4536	-0.1797	-0.13941	-0.089801
1.4787	-0.17741	-0.14723	-0.086067
1.5038	-0.17325	-0.15567	-0.082388
1.5288	-0.16738	-0.16462	-0.078763
1.5539	-0.15998	-0.17397	-0.075196
1.5789	-0.15124	-0.1836	-0.071688
1.604	-0.14138	-0.19342	-0.068241
1.6291	-0.13063	-0.20331	-0.064856
1.6541	-0.11923	-0.21317	-0.061536
1.6792	-0.10743	-0.22292	-0.05828
1.7043	-0.095443	-0.23245	-0.055091
1.7293	-0.083516	-0.24168	-0.051969
1.7544	-0.071866	-0.25055	-0.048916
1.7794	-0.060697	-0.25898	-0.045931
1.8045	-0.050196	-0.26691	-0.043016
1.8296	-0.04053	-0.27428	-0.040172
1.8546	-0.03184	-0.28106	-0.037398
1.8797	-0.024245	-0.2872	-0.034695
1.9048	-0.017837	-0.29268	-0.032063
1.9298	-0.01268	-0.29747	-0.029503
1.9549	-0.0088128	-0.30156	-0.027014
1.9799	-0.006246	-0.30494	-0.024597
2.005	-0.0049656	-0.30763	-0.022251
2.0301	-0.0049331	-0.30962	-0.019976
2.0551	-0.0060874	-0.31092	-0.017773
2.0802	-0.0083473	-0.31157	-0.015639
2.1053	-0.011614	-0.31158	-0.013576
2.1303	-0.015772	-0.31099	-0.011583
2.1554	-0.020696	-0.30982	-0.009659
2.1805	-0.026249	-0.30813	-0.0078034
2.2055	-0.032289	-0.30596	-0.0060157
2.2306	-0.03867	-0.30334	-0.0042952
2.2556	-0.045247	-0.30033	-0.0026412
2.2807	-0.051876	-0.29697	-0.0010528
2.3058	-0.058419	-0.29331	0.00047084
2.3308	-0.064745	-0.28941	0.0019305
2.3559	-0.070733	-0.28532	0.0033272
2.381	-0.076275	-0.28108	0.0046619
2.406	-0.081275	-0.27674	0.0059356
2.4311	-0.085651	-0.27235	0.0071493
2.4561	-0.089338	-0.26796	0.0083041
2.4812	-0.092288	-0.26361	0.009401
2.5063	-0.094467	-0.25933	0.010441
2.5313	-0.095859	-0.25518	0.011426
2.5564	-0.096463	-0.25117	0.012356
2.5815	-0.096294	-0.24735	0.013232
2.6065	-0.095383	-0.24375	0.014057
2.6316	-0.09377	-0.24038	0.014831
2.6566	-0.09151	-0.23727	0.015555
2.6817	-0.088669	-0.23443	0.01623
2.7068	-0.085318	-0.23189	0.016858
2.7318	-0.081537	-0.22965	0.01744
2.7569	-0.077412	-0.22772	0.017978
2.782	-0.07303	-0.2261	0.018471
2.807	-0.068481	-0.22479	0.018922
2.8321	-0.063852	-0.2238	0.019332
2.8571	-0.059231	-0.22311	0.019702
2.8822	-0.054699	-0.22271	0.020033
2.9073	-0.050334	-0.22261	0.020327
2.9323	-0.046208	-0.22278	0.020585
2.9574	-0.042382	-0.2232	0.020807
2.9825	-0.038912	-0.22387	0.020996
3.0075	-0.035844	-0.22476	0.021151
3.0326	-0.033213	-0.22585	0.021276
3.0576	-0.031045	-0.22713	0.02137
3.0827	-0.029356	-0.22857	0.021434
