3.5714,0.066291
3.584,0.015885
3.5965,-0.024409
3.609,-0.054053
3.6216,-0.072671
3.6341,-0.080098
3.6466,-0.076208
3.6591,-0.061004
3.6717,-0.034658
3.6842,0.0023892
3.6967,0.049652
3.7093,0.10665
3.7218,0.17265
3.7343,0.24689
3.7469,0.32833
3.7594,0.41589
3.7719,0.50848
3.7845,0.60502
3.797,0.70434
3.8095,0.8051
3.8221,0.90604
3.8346,1.0059
3.8471,1.1035
3.8596,1.1975
3.8722,1.2867
3.8847,1.3701
3.8972,1.4467
3.9098,1.5154
3.9223,1.5753
3.9348,1.6256
3.9474,1.6659
3.9599,1.6958
3.9724,1.7148
3.985,1.7225
3.9975,1.7186
4.01,1.7034
4.0226,1.6773
4.0351,1.6405
4.0476,1.5935
4.0602,1.5366
4.0727,1.4706
4.0852,1.3966
4.0977,1.3154
4.1103,1.228
4.1228,1.1355
4.1353,1.0389
4.1479,0.93967
4.1604,0.83899
4.1729,0.73807
4.1855,0.63812
4.198,0.54049
4.2105,0.44644
4.2231,0.35707
4.2356,0.27348
4.2481,0.19676
4.2607,0.12794
4.2732,0.067814
4.2857,0.017182
4.2982,-0.023321
4.3108,-0.053245
4.3233,-0.072178
4.3358,-0.079829
4.3484,-0.076162
4.3609,-0.061285
4.3734,-0.035303
4.386,0.001465
4.3985,0.048625
4.411,0.10545
4.4236,0.17117
4.4361,0.24505
4.4486,0.32625
4.4612,0.41368
4.4737,0.50624
4.4862,0.60272
4.4987,0.70191
4.5113,0.8026
4.5238,0.90356
4.5363,1.0035
4.5489,1.101
4.5614,1.1951
4.5739,1.2845
4.5865,1.368
4.599,1.4446
4.6115,1.5135
4.6241,1.5737
4.6366,1.6245
4.6491,1.6651
4.6617,1.695
4.6742,1.7139
4.6867,1.7218
4.6992,1.7185
4.7118,1.704
4.7243,1.678
4.7368,1.6413
4.7494,1.5943
4.7619,1.5378
4.7744,1.4723
4.787,1.3985
4.7995,1.3173
4.812,1.23
4.8246,1.1376
4.8371,1.0413
4.8496,0.94212
4.8622,0.8414
4.8747,0.74049
4.8872,0.64061
4.8997,0.54296
4.9123,0.44875
4.9248,0.35926
4.9373,0.27558
4.9499,0.19873
4.9624,0.1297
4.9749,0.06939
4.9875,0.018519
5,-0.022249
