0.86067	2.3555	-71.295
0.88077	2.363	-72.205
0.90134	2.3711	-73.2
0.92239	2.3799	-74.285
0.94392	2.3891	-75.466
0.96597	2.3985	-76.747
0.98852	2.4081	-78.135
1.0116	2.4174	-79.635
1.0352	2.4262	-81.254
1.0594	2.434	-82.996
1.0841	2.4406	-84.866
1.1095	2.4453	-86.868
1.1354	2.4477	-89.006
1.1619	2.4471	-91.281
1.189	2.443	-93.693
1.2168	2.4346	-96.239
1.2452	2.4212	-98.916
1.2743	2.4024	-101.72
1.304	2.3775	-104.63
1.3345	2.3462	-107.64
1.3656	2.3081	-110.73
1.3975	2.2631	-113.89
1.4302	2.2115	-117.08
1.4636	2.1536	-120.3
1.4977	2.09	-123.52
1.5327	2.0213	-126.72
1.5685	1.9485	-129.87
1.6051	1.8725	-132.96
1.6426	1.7944	-135.97
1.681	1.7151	-138.89
1.7202	1.6355	-141.7
1.7604	1.5563	-144.42
1.8015	1.4784	-147.01
1.8436	1.4023	-149.5
1.8866	1.3285	-151.87
1.9307	1.2572	-154.13
1.9758	1.1888	-156.29
2.0219	1.1233	-158.34
2.0691	1.061	-160.28
2.1175	1.0017	-162.14
2.1669	0.94556	-163.91
2.2175	0.89242	-165.59
2.2693	0.8422	-167.2
2.3223	0.79482	-168.74
2.3765	0.75013	-170.2
2.432	0.70803	-171.61
2.4888	0.66838	-172.96
2.5469	0.63105	-174.26
2.6064	0.5959	-175.51
2.6673	0.56282	-176.71
2.7295	0.53167	-177.88
2.7933	0.50235	-179.01
2.8585	0.47474	-180.1
2.9253	0.44874	-181.16
2.9936	0.42424	-182.19
3.0635	0.40115	-183.2
3.135	0.37939	-184.18
3.2082	0.35887	-185.15
3.2832	0.33951	-186.09
3.3598	0.32125	-187.01
3.4383	0.30401	-187.92
3.5186	0.28773	-188.82
3.6007	0.27236	-189.7
3.6848	0.25783	-190.57
3.7709	0.2441	-191.42
3.8589	0.23112	-192.27
3.949	0.21884	-193.11
4.0413	0.20723	-193.95
4.1356	0.19624	-194.77
4.2322	0.18584	-195.59
4.331	0.17599	-196.41
4.4322	0.16667	-197.22
4.5357	0.15784	-198.02
4.6416	0.14947	-198.83
4.75	0.14155	-199.63
4.8609	0.13404	-200.42
4.9744	0.12692	-201.22
5.0906	0.12017	-202.01
5.2095	0.11377	-202.8
5.3311	0.10771	-203.59
5.4556	0.10196	-204.38
5.583	0.096501	-205.17
5.7134	0.091329	-205.96
5.8468	0.086423	-206.75
5.9833	0.081771	-207.53
6.123	0.077358	-208.32
6.266	0.073173	-209.1
6.4124	0.069204	-209.89
6.5621	0.06544	-210.67
6.7153	0.061871	-211.46
6.8722	0.058486	-212.24
7.0326	0.055276	-213.02
7.1969	0.052233	-213.81
7.3649	0.049348	-214.59
7.5369	0.046613	-215.37
7.7129	0.044021	-216.14
7.893	0.041565	-216.92
8.0773	0.039237	-217.7
8.266	0.037032	-218.47
8.459	0.034943	-219.24
8.6565	0.032965	-220.01
8.8587	0.031092	-220.77
9.0655	0.029319	-221.54
9.2772	0.027641	-222.3
9.4939	0.026053	-223.05
9.7156	0.02455	-223.81
9.9425	0.023129	-224.55
10.175	0.021785	-225.3
10.412	0.020515	-226.04
10.655	0.019314	-226.78
10.904	0.01818	-227.51
11.159	0.017108	-228.23
11.419	0.016095	-228.95
11.686	0.01514	-229.67
11.959	0.014237	-230.38
12.238	0.013386	-231.08
12.524	0.012583	-231.78
12.816	0.011825	-232.46
13.116	0.011111	-233.15
13.422	0.010437	-233.82
13.736	0.0098028	-234.49
14.056	0.0092049	-235.15
14.384	0.0086417	-235.81
14.72	0.0081114	-236.46
15.064	0.0076122	-237.09
15.416	0.0071424	-237.73
15.776	0.0067003	-238.35
16.144	0.0062844	-238.96
16.521	0.0058933	-239.57
16.907	0.0055256	-240.17
17.302	0.0051799	-240.76
17.706	0.0048551	-241.34
18.119	0.0045499	-241.91
18.543	0.0042633	-242.48
18.976	0.003994	-243.04
19.419	0.0037413	-243.58
19.872	0.003504	-244.12
20.336	0.0032813	-244.65
20.811	0.0030724	-245.17
21.297	0.0028764	-245.69
21.794	0.0026925	-246.19
22.303	0.0025201	-246.69
22.824	0.0023584	-247.18
23.357	0.0022069	-247.66
23.903	0.0020649	-248.13
24.461	0.0019318	-248.59
25.032	0.0018071	-249.04
25.617	0.0016902	-249.49
26.215	0.0015808	-249.93
26.827	0.0014783	-250.36
27.453	0.0013824	-250.78
28.095	0.0012925	-251.19
28.751	0.0012084	-251.6
29.422	0.0011297	-251.99
30.109	0.001056	-252.38
30.812	0.00098705	-252.77
31.532	0.00092254	-253.14
32.268	0.00086219	-253.51
33.022	0.00080573	-253.87
33.793	0.00075292	-254.22
34.582	0.00070352	-254.57
35.389	0.00065733	-254.91
36.216	0.00061414	-255.24
37.061	0.00057375	-255.57
37.927	0.00053599	-255.88
38.813	0.00050069	-256.2
39.719	0.0004677	-256.5
40.646	0.00043686	-256.8
41.596	0.00040803	-257.09
42.567	0.00038109	-257.38
43.561	0.00035591	-257.66
44.578	0.00033239	-257.94
45.619	0.0003104	-258.21
46.685	0.00028986	-258.47
47.775	0.00027067	-258.73
48.89	0.00025275	-258.98
50.032	0.000236	-259.22
51.2	0.00022036	-259.47
52.396	0.00020574	-259.7
53.62	0.00019209	-259.93
54.872	0.00017934	-260.16
56.153	0.00016744	-260.38
57.464	0.00015632	-260.6
58.806	0.00014593	-260.81
60.18	0.00013623	-261.02
61.585	0.00012718	-261.22
63.023	0.00011872	-261.42
64.495	0.00011082	-261.61
66.001	0.00010345	-261.8
