0	0	0	0	0
0.2	0.056192	0.11238	0.22477	0.67431
0.4	0.17128	0.33624	0.64722	1.6385
0.6	0.28649	0.54114	0.95924	1.5714
0.8	0.38907	0.69609	1.0934	0.76869
1	0.47888	0.80609	1.1071	0.44467
1.2	0.55846	0.88458	1.0784	0.94704
1.4	0.63036	0.94339	1.0562	1.4597
1.6	0.69651	0.99049	1.0551	1.306
1.8	0.75826	1.0305	1.0692	0.82045
2	0.81647	1.0657	1.0881	0.71336
2.2	0.87167	1.0972	1.1042	1.0574
2.4	0.92417	1.1254	1.1148	1.3118
2.6	0.97408	1.1503	1.1206	1.1565
2.8	1.0214	1.1719	1.1232	0.87469
3	1.0662	1.1902	1.1238	0.86336
3.2	1.1084	1.2053	1.1232	1.0848
3.4	1.1477	1.2172	1.1214	1.1992
3.6	1.1843	1.226	1.1186	1.0726
3.8	1.2179	1.2319	1.1146	0.91605
4	1.2485	1.235	1.1096	0.94006
4.2	1.276	1.2355	1.1038	1.0756
4.4	1.3004	1.2335	1.0972	1.1185
4.6	1.3216	1.2293	1.0902	1.0263
4.8	1.3397	1.2231	1.0827	0.94371
5	1.3546	1.2151	1.0751	0.9754
5.2	1.3664	1.2054	1.0673	1.0547
5.4	1.3751	1.1944	1.0595	1.0644
5.6	1.3809	1.1822	1.0518	1.0021
5.8	1.3837	1.1691	1.0442	0.96136
6	1.3837	1.1551	1.0369	0.98975
6.2	1.381	1.1407	1.0299	1.0342
6.4	1.3757	1.1258	1.0233	1.0305
6.6	1.368	1.1108	1.017	0.99086
6.8	1.3581	1.0958	1.0112	0.97289
7	1.3461	1.0808	1.0059	0.99483
7.2	1.3321	1.0662	1.001	1.0187
7.4	1.3164	1.0519	0.99663	1.0113
7.6	1.2992	1.0382	0.99275	0.98734
7.8	1.2806	1.0251	0.98936	0.98096
8	1.2607	1.0127	0.98645	0.99658
8.2	1.2399	1.0011	0.98401	1.0088
8.4	1.2183	0.99033	0.98201	1.0016
8.6	1.1961	0.98045	0.98044	0.98799
8.8	1.1734	0.9715	0.97927	0.98703
9	1.1504	0.96349	0.97848	0.99755
9.2	1.1274	0.95644	0.97803	1.0034
9.4	1.1044	0.95036	0.97789	0.99784
9.6	1.0817	0.94523	0.97804	0.99053
9.8	1.0593	0.94104	0.97844	0.99173
10	1.0375	0.93775	0.97906	0.9985
10.2	1.0163	0.93534	0.97987	1.0011
10.4	0.99593	0.93377	0.98085	0.99717
10.6	0.97641	0.93299	0.98195	0.99352
10.8	0.95788	0.93294	0.98317	0.99527
11	0.94042	0.93359	0.98446	0.99945
11.2	0.92411	0.93486	0.98581	1.0004
11.4	0.90902	0.9367	0.98719	0.99783
11.6	0.8952	0.93906	0.98859	0.99617
11.8	0.8827	0.94186	0.98998	0.99778
12	0.87154	0.94505	0.99135	1.0002
12.2	0.86175	0.94856	0.99268	1.0004
12.4	0.85335	0.95234	0.99396	0.9988
12.6	0.84632	0.95632	0.99519	0.99813
12.8	0.84067	0.96046	0.99635	0.99936
13	0.83637	0.9647	0.99743	1.0007
13.2	0.8334	0.96898	0.99843	1.0006
13.4	0.83173	0.97327	0.99935	0.99959
13.6	0.8313	0.97751	1.0002	0.99939
13.8	0.83208	0.98167	1.0009	1.0002
14	0.834	0.98571	1.0016	1.0009
14.2	0.837	0.9896	1.0021	1.0007
14.4	0.84102	0.99331	1.0026	1.0001
14.6	0.84599	0.99681	1.003	1
14.8	0.85183	1.0001	1.0034	1.0006
15	0.85846	1.0031	1.0036	1.0009
15.2	0.86581	1.0059	1.0038	1.0006
15.4	0.87379	1.0084	1.0039	1.0003
15.6	0.88232	1.0107	1.0039	1.0003
15.8	0.89132	1.0126	1.0039	1.0006
16	0.9007	1.0143	1.0039	1.0007
16.2	0.91038	1.0158	1.0038	1.0005
16.4	0.92029	1.0169	1.0037	1.0003
16.6	0.93034	1.0178	1.0035	1.0003
16.8	0.94046	1.0185	1.0033	1.0005
17	0.95057	1.0189	1.0031	1.0005
17.2	0.9606	1.0191	1.0029	1.0003
17.4	0.97048	1.0191	1.0027	1.0002
17.6	0.98016	1.0189	1.0024	1.0002
17.8	0.98957	1.0185	1.0022	1.0003
18	0.99866	1.018	1.0019	1.0003
18.2	1.0074	1.0173	1.0017	1.0001
18.4	1.0157	1.0165	1.0014	1.0001
18.6	1.0235	1.0155	1.0012	1.0001
18.8	1.0309	1.0145	1.001	1.0001
19	1.0377	1.0134	1.0008	1.0001
19.2	1.044	1.0123	1.0006	1
19.4	1.0497	1.0111	1.0004	0.99999
19.6	1.0548	1.0099	1.0002	1
19.8	1.0593	1.0087	1	1
20	1.0632	1.0075	0.99991	1
